frame,face_id,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,-0.068,0.154,0.005,0.166,0.004,1.17,0.42,2.56,0.41,0.00,1.00,0.00,0.00,0.00,0.83,0.57,0.89,0.71,0.79,0.00,0.28,0.60,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00
2,0,0.033,0.98,1,-0.056,0.175,-0.010,0.166,0.002,1.08,0.27,2.58,0.51,0.00,1.01,0.00,0.00,0.00,1.01,0.50,0.98,0.55,0.81,0.00,0.26,0.61,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
3,0,0.067,0.98,1,-0.050,0.166,-0.014,0.165,0.001,0.99,0.15,2.58,0.56,0.00,0.96,0.00,0.00,0.00,1.18,0.43,0.99,0.39,0.85,0.00,0.26,0.60,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
4,0,0.100,0.98,1,-0.053,0.164,-0.016,0.167,0.000,0.89,0.09,2.59,0.64,0.00,0.91,0.00,0.00,0.04,1.26,0.27,0.85,0.25,0.86,0.00,0.27,0.58,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
5,0,0.133,0.98,1,-0.049,0.164,-0.005,0.167,-0.001,0.75,0.03,2.48,0.61,0.11,1.06,0.00,0.11,0.37,1.43,0.13,0.64,0.09,0.82,0.00,0.20,0.56,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00
6,0,0.167,0.98,1,-0.050,0.178,0.011,0.167,-0.007,0.56,0.01,2.36,0.50,0.33,1.23,0.00,0.23,0.86,1.42,0.01,0.42,0.02,0.79,0.00,0.11,0.54,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
7,0,0.200,0.98,1,-0.059,0.210,0.023,0.169,-0.008,0.38,0.00,2.16,0.22,0.64,1.42,0.00,0.37,1.39,1.33,0.00,0.34,0.05,0.85,0.00,0.00,0.52,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
8,0,0.233,0.98,1,-0.061,0.221,0.031,0.170,-0.008,0.19,0.00,2.12,0.10,0.93,1.37,0.00,0.55,1.69,1.14,0.00,0.40,0.11,0.86,0.00,0.00,0.48,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
9,0,0.267,0.98,1,-0.059,0.228,0.034,0.167,-0.006,0.09,0.00,2.05,0.03,1.14,1.43,0.00,0.78,1.86,1.10,0.00,0.46,0.14,0.89,0.00,0.00,0.46,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
10,0,0.300,0.98,1,-0.059,0.236,0.039,0.166,-0.004,0.03,0.00,2.01,0.03,1.26,1.56,0.00,0.94,1.98,1.10,0.00,0.50,0.13,0.89,0.00,0.00,0.47,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
11,0,0.333,0.98,1,-0.062,0.245,0.043,0.163,-0.001,0.03,0.00,1.90,0.00,1.31,1.89,0.00,0.97,2.07,1.17,0.00,0.48,0.10,0.91,0.00,0.00,0.50,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
12,0,0.367,0.98,1,-0.059,0.250,0.045,0.162,-0.001,0.02,0.00,1.83,0.00,1.34,1.87,0.00,0.98,2.12,1.24,0.00,0.44,0.09,0.86,0.00,0.00,0.54,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
13,0,0.400,0.98,1,-0.058,0.253,0.048,0.163,-0.002,0.00,0.00,1.76,0.00,1.40,1.82,0.00,1.05,2.16,1.31,0.00,0.39,0.06,0.82,0.00,0.00,0.57,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
14,0,0.434,0.98,1,-0.053,0.264,0.052,0.164,-0.003,0.01,0.00,1.75,0.00,1.47,1.68,0.00,1.08,2.19,1.33,0.00,0.31,0.06,0.83,0.00,0.00,0.60,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
15,0,0.467,0.98,1,-0.051,0.268,0.053,0.165,-0.004,0.01,0.00,1.67,0.00,1.52,1.71,0.00,1.06,2.21,1.24,0.00,0.26,0.03,0.86,0.00,0.00,0.62,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
16,0,0.500,0.98,1,-0.049,0.265,0.052,0.165,-0.004,0.01,0.00,1.63,0.01,1.56,1.66,0.00,0.99,2.25,1.12,0.00,0.22,0.03,0.87,0.00,0.00,0.63,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
17,0,0.534,0.98,1,-0.045,0.265,0.053,0.165,-0.003,0.04,0.00,1.57,0.02,1.58,1.46,0.00,0.96,2.28,1.01,0.00,0.22,0.00,0.84,0.00,0.00,0.65,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
18,0,0.567,0.98,1,-0.044,0.270,0.056,0.165,-0.004,0.10,0.00,1.58,0.04,1.66,1.34,0.00,0.99,2.30,0.99,0.00,0.20,0.00,0.82,0.00,0.00,0.66,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00
19,0,0.600,0.98,1,-0.038,0.273,0.060,0.164,-0.004,0.18,0.00,1.56,0.06,1.70,1.32,0.00,1.06,2.29,1.02,0.00,0.21,0.00,0.78,0.00,0.00,0.68,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00
20,0,0.634,0.98,1,-0.041,0.275,0.061,0.165,-0.004,0.22,0.00,1.55,0.05,1.77,1.43,0.00,1.11,2.28,1.04,0.00,0.18,0.00,0.80,0.00,0.00,0.68,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00
21,0,0.667,0.98,1,-0.042,0.269,0.062,0.164,-0.004,0.18,0.00,1.57,0.05,1.78,1.54,0.00,1.18,2.30,1.02,0.00,0.19,0.00,0.84,0.00,0.00,0.70,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00
22,0,0.700,0.98,1,-0.041,0.267,0.059,0.164,-0.003,0.10,0.00,1.54,0.02,1.80,1.55,0.00,1.23,2.30,1.04,0.00,0.24,0.00,0.89,0.00,0.00,0.71,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00
23,0,0.734,0.98,1,-0.041,0.264,0.056,0.161,-0.000,0.03,0.00,1.55,0.03,1.80,1.59,0.00,1.28,2.32,1.09,0.00,0.28,0.00,0.88,0.00,0.00,0.72,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00
24,0,0.767,0.98,1,-0.040,0.267,0.058,0.161,-0.001,0.00,0.00,1.54,0.01,1.82,1.60,0.00,1.34,2.31,1.11,0.00,0.39,0.00,0.90,0.00,0.00,0.74,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00
25,0,0.800,0.98,1,-0.041,0.266,0.058,0.159,0.000,0.00,0.00,1.58,0.01,1.82,1.54,0.00,1.36,2.37,1.14,0.00,0.47,0.08,0.87,0.00,0.00,0.77,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
26,0,0.834,0.98,1,-0.042,0.270,0.056,0.154,0.009,0.04,0.00,1.57,0.00,1.80,1.43,0.00,1.44,2.41,1.15,0.00,0.66,0.20,0.91,0.00,0.00,0.83,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
27,0,0.867,0.98,1,-0.041,0.264,0.053,0.150,0.015,0.06,0.00,1.50,0.00,1.72,1.38,0.00,1.40,2.35,1.23,0.04,0.78,0.37,0.84,0.00,0.00,0.88,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
28,0,0.900,0.98,1,-0.044,0.255,0.047,0.147,0.019,0.13,0.00,1.65,0.02,1.39,1.35,0.00,1.33,1.87,1.45,0.17,0.93,0.54,0.77,0.00,0.00,0.93,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
29,0,0.934,0.98,1,-0.058,0.237,0.023,0.151,0.021,0.32,0.00,1.93,0.11,0.82,1.29,0.00,1.01,1.04,1.53,0.45,0.98,0.51,0.65,0.00,0.01,0.88,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
30,0,0.967,0.98,1,-0.088,0.220,0.007,0.162,0.013,0.45,0.04,2.30,0.25,0.30,1.12,0.00,0.67,0.34,1.55,0.67,1.01,0.55,0.67,0.00,0.01,0.86,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
31,0,1.000,0.98,1,-0.074,0.204,-0.000,0.166,0.006,0.61,0.13,2.50,0.28,0.03,0.85,0.00,0.33,0.00,1.22,0.80,0.98,0.51,0.70,0.00,0.01,0.86,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
32,0,1.034,0.98,1,-0.068,0.210,-0.006,0.167,0.003,0.71,0.25,2.62,0.24,0.00,0.58,0.00,0.14,0.00,1.03,0.83,1.00,0.67,0.76,0.00,0.00,0.92,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
33,0,1.067,0.98,1,-0.067,0.191,-0.009,0.175,0.002,0.85,0.28,2.66,0.10,0.00,0.39,0.00,0.03,0.00,0.93,0.85,1.05,0.71,0.77,0.00,0.03,0.91,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
34,0,1.100,0.98,1,-0.075,0.196,-0.010,0.174,0.000,0.94,0.30,2.67,0.17,0.00,0.31,0.00,0.00,0.00,0.95,0.85,1.07,0.67,0.81,0.00,0.06,0.90,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
35,0,1.134,0.98,1,-0.077,0.196,-0.013,0.175,-0.000,0.92,0.32,2.65,0.23,0.00,0.39,0.00,0.00,0.00,1.02,0.86,1.05,0.55,0.87,0.00,0.06,0.87,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
36,0,1.167,0.98,1,-0.084,0.186,-0.018,0.177,-0.002,0.97,0.41,2.59,0.42,0.00,0.45,0.00,0.06,0.00,1.02,0.85,1.12,0.62,0.90,0.00,0.04,0.78,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
37,0,1.201,0.98,1,-0.075,0.194,-0.004,0.150,0.017,1.00,0.38,2.55,0.47,0.00,0.61,0.00,0.06,0.00,1.01,0.85,1.16,0.62,0.91,0.00,0.01,0.71,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
38,0,1.234,0.98,1,-0.080,0.193,-0.004,0.164,0.007,1.09,0.37,2.56,0.39,0.00,0.53,0.00,0.06,0.00,0.99,0.76,1.18,0.66,0.92,0.00,0.02,0.71,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
